step,val/test_score/rlla,val/test_format/rlla,val/test_correctness/rlla,val/test_length/rlla,global_seqlen/min,global_seqlen/max,global_seqlen/minmax_diff,global_seqlen/balanced_min,global_seqlen/balanced_max,global_seqlen/mean,critic/kl,critic/kl_coeff,actor/entropy_loss,actor/pg_loss,actor/pg_clipfrac,actor/ppo_kl,actor/grad_norm,mfu/actor,actor/lr,critic/score/mean,critic/score/max,critic/score/min,critic/format_score/mean,critic/format_score/max,critic/format_score/min,critic/correctness_score/mean,critic/correctness_score/max,critic/correctness_score/min,critic/length_score/mean,critic/length_score/max,critic/length_score/min,critic/rewards/mean,critic/rewards/max,critic/rewards/min,critic/advantages/mean,critic/advantages/var,critic/advantages/max,critic/advantages/min,critic/returns/mean,critic/returns/max,critic/returns/min,response_length/mean,response_length/max,response_length/min,response_length/clip_ratio,prompt_length/mean,prompt_length/max,prompt_length/min,prompt_length/clip_ratio,timing_s/gen,timing_s/ref,timing_s/adv,timing_s/update_actor,timing_s/step,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/testing,timing_s/save_checkpoint
0,1.2337608203291892,0.1125,1.1212608203291894,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,467153,512646,45493,482989,482990,482989.75,9.26212960621342e-05,0.001,0.571371339487307,-0.05537918146177562,0.0,0.0,50.41266441345215,0.39696511190905365,1e-06,-0.4095768332481384,4.0,-3.0,0.064453125,1.0,0.0,-0.4740299582481384,3.0,-3.0,0.0,0.0,0.0,-0.4095580577850342,4.000927448272705,-3.016223669052124,0.06380682438611984,0.8164523839950562,1.7320510149002075,-1.732050895690918,0.06380682438611984,1.7320510149002075,-1.732050895690918,175.07763671875,1024.0,18.0,0.01513671875,768.26171875,2048.0,418.0,0.0078125,63.782746677985415,21.949776107998332,1.2403676660032943,84.53392503299983,171.6026926350023,0.0006420258742568006,0.1778863357996464,0.011361408864265924,0.04375554814206711,,
2,,,,,465827,496997,31170,482412,482412,482412.0,2.409821900073439e-05,0.001,0.615801801905036,-0.07648728281492367,0.005408524699305417,0.0008102344747840107,34.3021115064621,0.40231099953998556,1e-06,-0.6668105125427246,4.0,-3.0,0.0546875,1.0,0.0,-0.7214980125427246,3.0,-3.0,0.0,0.0,0.0,-0.6667526960372925,4.001266956329346,-3.021430730819702,0.08974075317382812,0.7770492434501648,1.732050895690918,-1.7320514917373657,0.08974075317382812,1.732050895690918,-1.7320514917373657,172.90625,1024.0,19.0,0.0146484375,769.3046875,2048.0,399.0,0.0078125,71.95749023600365,22.154734593001194,1.2906723320193123,83.34301104099723,178.84595098599675,0.0006688641306701079,0.20320545543783788,0.011481231081006066,0.04319078455811486,,
3,,,,,465426,503012,37586,485051,485052,485051.25,0.00023132652859203517,0.001,0.554150759242475,-0.04300727602094412,0.007695860171224922,0.0021874776093682158,68.94950151443481,0.4197383970540888,1e-06,-0.24448543787002563,4.0,-3.0,0.07470703125,1.0,0.0,-0.31919246912002563,3.0,-3.0,0.0,0.0,0.0,-0.24488331377506256,4.000912189483643,-3.0801124572753906,0.0528823547065258,0.7967906594276428,1.732051134109497,-1.732051134109497,0.0528823547065258,1.732051134109497,-1.732051134109497,179.62353515625,1024.0,19.0,0.01318359375,767.7421875,2048.0,421.0,0.00390625,66.69866608598386,22.013247166993096,1.2792177869996522,80.36754772099084,170.47264991002157,0.0006593209413436478,0.18131091797891058,0.011345835706532607,0.04142219390270144,,
4,,,,,480121,509525,29404,499628,499629,499628.75,0.0016376374987885356,0.001,0.5082013879503523,0.02403448742947408,0.007976710207627288,-0.0039739258231877884,78.54046726226807,0.4027941432242697,1e-06,0.4619377553462982,4.0,-3.0,0.06591796875,1.0,0.0,0.3960197865962982,3.0,-3.0,0.0,0.0,0.0,0.46137601137161255,4.001657962799072,-3.094036102294922,0.03847302496433258,0.717429518699646,1.732050895690918,-1.7320526838302612,0.03847302496433258,1.732050895690918,-1.7320526838302612,189.02099609375,1024.0,23.0,0.01513671875,786.81640625,2048.0,414.0,0.001953125,64.77663659700193,22.66738579500816,1.5906553980021272,86.27491996600293,175.42598290301976,0.0007959186686125084,0.1673317660049389,0.011342114417459042,0.04316951334666136,,
5,,,,,458786,513975,55189,479096,479096,479096.0,0.004423272795975208,0.001,0.41747567734935065,0.06033570134560719,0.0023260517398629227,-0.00020706310456399947,43.03142476081848,0.4114845300741,1e-06,0.8052453994750977,4.0,-3.0,0.09521484375,1.0,0.0,0.7100305557250977,3.0,-3.0,0.0,0.0,0.0,0.8040065765380859,4.004076957702637,-3.1519815921783447,0.016159242019057274,0.7174344062805176,1.732050895690918,-1.7320512533187866,0.016159242019057274,1.732050895690918,-1.7320512533187866,178.6484375,1024.0,21.0,0.005859375,757.0859375,2048.0,422.0,0.001953125,62.99667432002025,21.433207344001858,1.3138947910047136,80.88344062797842,166.73373827300384,0.0006856114385241756,0.1721822777365315,0.01118419238733044,0.04220628048865906,,
6,,,,,485569,498160,12591,490328,490329,490328.75,0.005170051474124193,0.001,0.45682498242925196,0.08019229068475611,0.005694067095378961,0.004628578479134697,32.75009274482727,0.4045483835642054,1e-06,1.130035161972046,4.0,-3.0,0.12451171875,1.0,0.0,1.005523443222046,3.0,-3.0,0.0,0.0,0.0,1.1294430494308472,4.001008033752441,-3.0077693462371826,-0.0008675626595504582,0.6762307286262512,1.7320514917373657,-1.7320512533187866,-0.0008675626595504582,1.7320514917373657,-1.7320512533187866,193.91552734375,1024.0,24.0,0.01708984375,763.7578125,2047.0,393.0,0.0,65.41401617901283,21.807562578003854,1.3689027990039904,84.33732336899266,173.04006400398794,0.0006979515269112766,0.16471315126193306,0.011118847598679383,0.043000396860775884,,
7,,,,,460864,501287,40423,485198,485199,485198.5,0.0065113240852952,0.001,0.5663645742461085,0.016989127994747832,0.0052200985155650415,0.0019138516377665837,38.91645550727844,0.41666718708610245,1e-06,1.226300597190857,4.0,-3.0,0.2353515625,1.0,0.0,0.9909489154815674,3.0,-3.0,0.0,0.0,0.0,1.2274250984191895,4.00072717666626,-3.006965398788452,-0.026240527629852295,0.6778897047042847,1.732050895690918,-1.7320525646209717,-0.026240527629852295,1.732050895690918,-1.7320525646209717,185.5009765625,1024.0,24.0,0.0146484375,762.15234375,2048.0,389.0,0.009765625,63.910097045009024,22.145704688009573,1.320936961012194,80.98272902701865,168.46838554600254,0.0006806167790152865,0.1682260797276406,0.011410641566291721,0.04172659696341737,,
8,,,,,462455,507246,44791,490661,490662,490661.75,0.01348361186683178,0.001,0.4695117184610078,0.01368533955378966,0.012392228764700561,0.0069373652941342725,14.415932178497314,0.4106520443254577,1e-06,1.5685194730758667,4.0,-3.0,0.33544921875,1.0,0.0,1.2330701351165771,3.0,-3.0,0.0,0.0,0.0,1.5685182809829712,4.00250768661499,-3.189382553100586,-0.02972700633108616,0.6486813426017761,1.732050895690918,-1.7320513725280762,-0.02972700633108616,1.732050895690918,-1.7320513725280762,176.07958984375,1024.0,24.0,0.00830078125,782.244140625,2048.0,389.0,0.013671875,65.83548426599009,21.770045837009093,1.295496753999032,83.21647228099755,172.213964391005,0.0006600762918645239,0.18256648928066557,0.011092186132814048,0.042400122019393985,,
9,,,,,459224,502126,42902,480784,480784,480784.0,0.01818956807255745,0.001,0.41628420213237405,0.05312945947298431,0.007402030416415073,0.001866891699023654,59.65762138366699,0.4036239225776684,1e-06,1.6013877391815186,4.0,-3.0,0.43994140625,1.0,0.0,1.1614463329315186,3.0,-3.0,0.0,0.0,0.0,1.6053358316421509,4.301522254943848,-3.014967441558838,-0.04044109582901001,0.7035574316978455,1.732050895690918,-1.7320518493652344,-0.04044109582901001,1.732050895690918,-1.7320518493652344,180.224609375,1024.0,30.0,0.0107421875,758.806640625,2048.0,414.0,0.005859375,62.310531816998264,21.554213217983488,1.3167073350050487,82.81713040001341,168.10971564802458,0.0006846667812391056,0.16881747986182136,0.011207846568304836,0.043063584894679006,,
